tweet,label
layers heart ( paperback journey inspired recent robbery took place united sta ...,-1
layers heart ( paperback journey inspired recent robbery took place united sta ...,-1
guess texted wants us back ( ( (,-1
<hashtag> 2 farrow ( v litter offence ; wilful dispersal piglets ~ continued,-1
99000 people barca's ground tonight gonna see chelsea get absolutly destroyed ! 100million watch telly,-1
mlb 07 show ( video game mlb 07 : show,-1
rt <hashtag> bieber following,-1
rt <hashtag> bieber following,-1
rt <hashtag> bieber following,-1
even care ? dont want white ass anyways,-1
ugh idk got hopes ! ! ! plans never work ! ! !,-1
ummm playing trials hd ignoring fact need 7,-1
trying get tickets vancouver show . row 1 $ 1500 ? haaa <hashtag> happening,-1
"04x27 custom picture frame / poster frame 1.5 "" wide complete american maple brown frame ( 17015 frame ...",-1
sooo missed music class ! mean ! .. mi ago fail tha test thurs .. ... mi nah study music,-1
straight taller cute boys,-1
"bloodforge worth fighting get . decent combat , visuals stay game , story non-existent .",-1
"really want something special spontaneous ... gotta feeling something wrong , dat wont happening",-1
bye bye beach buddies ( @ fort lauderdale-hollywood international airport ( fll ) w / 47 others ),-1
"damn , saw spoiler told joffrey dies . much satisfaction see tv . <hashtag> game thrones",-1
realized still know prom dates tux looks like .. hmm .. <hashtag> sub tweet <hashtag> super obvious sub tweet <hashtag> show <,-1
marion zimmer bradley's ravens avalon [ earphones ] ( playaway adult fiction marion zimmer bradleys belo ...,-1
get treated like,-1
"best cookies tried . ig even like chewy cookies , maybe would appeal",-1
haha afraid stir fry veg chicken,-1
always finals saturdays,-1
[ rivals ] war room 4/23 ( rivals david lockwood spencer leftwich two ... <hashtag> arizona,-1
ow im sorry : ' - ( im know englis ... therefore : ' - (,-1
surprised ! ! love,-1
people meet get dmed .. still first tweet,-1
suffering post-festival disorder,-1
getting divorced !,-1
hahahah ok ok sorry like name evey ? xd,-1
hahahah ok ok sorry like name evey ? xd,-1
hahahah ok ok sorry like name evey ? xd,-1
omfg ... hello kitty shoot antm ... jealous !,-1
stab heart . really wanted friend facebook,-1
"walthers proto 2000 ho scale diesel emd f7a powered - standard dc - soo line <hashtag> 2225 - b mars light ( red , white",-1
watching . v nothing,-1
assalamualaikum .. morning people .. stay awake even though eyes heavy,-1
everyones yd ... could get invite ? !,-1
guys honestly suck,-1
"medium cherry & black 60 "" corner tv stand powell - medium wood ( 533-275 contemporary 60 "" wide corner tv sta ...",-1
"o2 xda trion minisync - complete essentials kit ( european outlet plug , cleartouch anti-glare minisync - co ...",-1
want text . ... one person cheer,-1
hahaha know ! mission .. killing though,-1
> wanted hang 18th birthday .,-1
"cables go 03011 db25 female / female null modem cable , beige ( 6 feet / 1.82 meters line null modem seria ...",-1
know joey,-1
week half left freshman year <hashtag> sad tweet,-1
week half left freshman year <hashtag> sad tweet,-1
emotionally taken granted,-1
thanks trying veevs call,-1
women's merrell moab waterproof ( 5.5 dusty olive,-1
clearly miss young sisters . played 6 year old girl felt !,-1
wish made 18 ' love,-1
pouring rain outside . wish could go,-1
science test tomorrow ? deal !,-1
yoyou anyways ? rt <youser> <youser> miss,-1
tht one worst voicemails ever got,-1
know thought woulda aha,-1
<hashtag> loiter squad need hurry n come,-1
newpics <hashtag> nsfw <hashtag> sexy hot blonde ready game love ( 1,-1
"hannah wants playing dc saturday , sooo want go <hashtag> fair rr",-1
"jersey shore 13x25 custom picture frame / poster frame 2 "" wide complete black wood frame (8 941 frame ...",-1
"strange call "" past "" keep thinking every second ? ! !",-1
star brite economy boat hook ( 4-8- feet telescoping pole extends 4 ( 124 cm ) 8 ( 243 cm ) special f ...,-1
love cambon ! first rouge coco adore ! bad smooched cap . tragedy,-1
coastal walks : normandy brittany ( footpaths europe,-1
"confident ? ( devotional ) ( "" use three hundred men ... "" judges 7:7 endurance confid ...",-1
happened ? love,-1
worst way miss person sitting right beside knowing things never . fml,-1
justin london school,-1
two talk upset na ! ! > < tama na galit pareho lang kayong malungkot .,-1
natrum muriaticum ( potency : lm 25 natrum muriaticum homeopathic remedy available medicated sugar pelle ...,-1
actually coffee house <hashtag> breaking,-1
seriously jerking-off strapon ? rt penalty <hashtag> masturbation indonesia decapitation .,-1
k ! hopeless ang packaging . editing pictures easy . seriously really need help <hashtag> shitty,-1
hihi ... . bt havnt hav anything,-1
"sex , straight ( harlequin blaze ) ( mass market paperback meeting handsome loner deserted beach ...",-1
wondering talk,-1
feel like bed resting ' didnt feel like coming school today,-1
