label,input_ids,attention_mask
1,"tensor([  101,  1026,  5310,  1028,  1998, 14141,  2000, 15138,  1001, 10342,
        11387, 17134,  1029,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2057,  4604,  2019,  8468,  2000,  4497,  2006,  1011,  2240,
          999,  2182,  2017,  2097,  2424,  2673,  2017,  2342,  1011,  2302,
         2975,  2188,  1012,  1012,  1012,  1026, 24471,  2140,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2074, 8271, 2039, 1010, 9303, 2050, 2175, 2000, 2277,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  3530,   999,  2260,  2062,  2420,  2187,
        27793,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101, 12256,  3388,  2007,  5736, 10199,  2080,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2066,  5477,  7382,  1026,  5310,  1028, 16105,  2015,  1057,
         2288,  1037,  2843,  2000,  2360,  2043, 24471,  2006, 10474,  8840,
         2140,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  8794,  2651,  2005,  1037,  3959, 16829,   999,   999,  2026,
         2540,  2003,  2061,  2440,  1011,  2034,  1017,  2949,  3162,  2031,
         3369,  2067,  2013,  2047,  2259,   999,  1001,  2748, 19980,   999,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2012, 2188, 3821, 4618, 2079, 2009, 2101,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  3347,  3540, 10094,  2000,  3786,  2613,  6921,  2006,  5095,
        18629,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1037,  2843,  1997,  3033,  1997,  4021,
         1012,  2926, 11432,  2008,  2444,  1999,  1996,  2406,  1998,  2444,
         2006, 17588,  1012,  4011,  2000,  2022,  3243, 11937, 21756,  1012,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1026,  5310,  1028,  1045,  2347,  1005,
         1056,  2130,  5777,  1012,  2061,  3844, 16480, 15589,  2175,  2067,
         2000,  3637,  2298,  2378,  4632,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1])"
1,"tensor([ 101, 1045, 2031, 1996, 8484, 2190, 3611, 1012, 1026, 1017,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1026,  5310,  1028, 11113, 22770,  3148,
         2100,  2057, 12789,  3116,  1047, 12707,  3286,  7632,  7570,  3900,
         3240,  5856,  8670, 20784,  2072, 11382, 12136,  2075,  8670,  4215,
         2089, 13173,  2100,  3654,  2100, 14910,  7842,  2497,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  2053,  2028, 13579,  2008,  3754,   999,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  4638,  2026,  1056, 28394,  2102, 27263,
         2041,  1012,  2008,  2001,  1996, 11018,  2077,  1012,  2023,  2003,
         2009,  2044,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2074, 2288, 2026, 3054, 1011, 2744, 1998, 1045, 1005, 1049, 7622,
         999,  999, 1001, 3407,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2026, 2621, 2420, 1024, 1015, 1012, 1007, 2147, 2013, 2184, 1024,
        2382, 1011, 1016, 1024, 2382, 2003, 2232, 1012, 1012, 1016, 1012, 1007,
        2188, 1010, 6457, 1010, 1004, 4521, 1012, 1012, 1012, 1017, 1012, 1007,
        2175, 2041, 6229, 7188, 1998, 2079, 2009, 2035, 2058, 2153,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  8840,  2140,  2053,  9541,  1012,  1012,
         2833,  2003, 24471,  2767,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1001,  2385, 19912,  3258, 23736,  2102,
         5420, 15143, 19387,  1998,  1056, 28394,  2102,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  2021,  5667,  2295,  1012,  1012,  2009,
         1005,  1055,  2170, 18736,  4189,  4355,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 1026, 5310, 1028, 8840, 2140, 9318, 1024, 1005,
        1007, 5665, 6570, 2017, 2015, 2000, 5660, 1010, 2017, 1005, 2222, 2022,
        4013, 2015, 2011, 1996, 2203, 1997, 2009,  999,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  8840,  2140,  1010, 10047,  9303,  2050,
         4521,  2242,  1012,  1012,  1012,  7975,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2151,  3980,  2005,  2033,  1029,  2074,  2404,  8475,  2091,
         2005,  1037,  2460, 18996,  1998,  3505,  2015,  2025,  2188,  2005,
         2178,  3178,  1010,  2514,  2066,  3437,  1053,  1005,  1055,   999,
          999,  2191,  1005,  7861,  2434,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  5958,  2003,  3477, 10259,  1004,  1018,  1013,  2322,  1029,
         1029,  3109,  3398,  1001,  4436,  2475, 27364,  5369,  9001,  2386,
        11774,  6820,  2497,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  4067,  2017,  2153,  2293,  1004,  1004,
         1045, 13366,  2097,  2131,  2008,  2589,  1007,  1045,  2031,  7564,
         1045,  2215, 10366,  8840,  4877,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  1005,  1049,  2200,  2733,  4283,
         4757,   999,  2054,  2017,  2039,  2000,  1029, 22038,  2595,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1001, 21461,  2000,  2026,  2204,  1010, 26316,  1010,  4086,
         1998,  2785,  2767,  1010,  2040,  7459, 11848,  3259,  1010,  1026,
         5310,  1028,  2002,  1005,  1055,  2467,  2081,  2033,  4756,  2043,
         1045,  2734,  2000,   999,  1026,  1017,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 4593, 2025, 1007,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  2444,  2026,  2166,  2006,  1996,
        14686,  1000,  2444,  2166,  2005,  1996,  2617,  2522,  2015,  2673,
         2842,  2003,  9662,  1000,  1011,  3434,  3419, 25051,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 1045, 2064, 1005, 1056, 3524, 2000, 2156, 2009,
        2064, 2017, 3531, 5060, 2030, 3582, 2033, 1029,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2021, 2027, 2481, 1005, 1056, 2022, 7046, 2084,
        1026, 5310, 1028, 1005, 1055, 3924,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1001,  2017, 18150,  2863,  5558, 14536, 25785,  5332,  2546,
         2017,  2024,  7710,  2829,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  5939,  2004,  2092,   999,  1045,  2123,
         1005,  1056,  2113,  2054,  1045,  2052,  2079,  2302,  2017,  2205,
         2026,  2905,  1999,  4828,   999,  2017,  2024,  5621,  1037, 13301,
         2000,  1996,  2983,   999,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1045,  2293,  2148,  8095,  3604,  1010,  1998,  2077,  1045,
         3942,  2148,  8095,  1045,  3942,  1026, 24471,  2140,  1028,  2034,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2057,  2729,  1037,  2843,  2005,  1996,  3924,  2017,  2293,
         1012,  1012,  1012,  2204,  2851,  1026, 24471,  2140,  1028,  3745,
         2009,  2007,  2115,  2814,  1012,  1026, 24471,  2140,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  2293,  2017,   999,  2065,  2017,
         2293,  2033,  2000,  3531, 19387,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2024, 2017, 1037, 9081, 2664, 1029,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 3524, 2026, 2567, 2038, 2028,  999, 2292, 1005,
        1055, 2131, 1037, 3861,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2065, 1045, 2123, 2102, 2079, 2009, 2034, 2518,
        1045, 2180, 1005, 1056, 2079, 2009,  999, 4606, 1045, 3786, 1996, 2958,
        4026,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1])"
1,"tensor([  101,  2900,  2038,  2070,  1997,  1996,  3835,  3367,  5485,   999,
         1026, 24471,  2140,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2821, 7632, 3531, 3582, 2033,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2026,  2047,  5059,  2241,  2006,  1026,  5310,  1028,  2074,
         3403,  2005,  4209,  2014,  6904,  2615,  3609,  1026, 24471,  2140,
         1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  4033,  1005,  1056,  2464,  2870,
         2295,  1998,  2027,  2134,  1005,  1056,  3198,  2029,  2003,  1037,
         2978, 15703,  1024,  1052,  5292,  3270,  1010,  1051,  9541,  2428,
         1029,  2339,  1029,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1045,  2074,  2342,  2459,  2062,  8771,   999,  3531,  3582,
         2000,  2131,  2033,  2000,  3156,  8771,  2077,  5095,  1998,  2000,
         2490,  3841,  5163,  1001,  2136,  6460, 18719,  2063,  1001,  1996,
         6767,  6610,  6968,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  2215,  1037,  3959,  2066,  2008,
         2094,  1025,  5292,  3270,  2232, 10930,  4135,  1012, 22038,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  2092,  2720,  1012, 12940,  1013,  5000,
         1010,  4995,  1005,  1056,  2017,  1996, 11084,  2121,  1029,  2017,
         2074,  2081,  2026,  2154,  2274, 11721,  5831,  6894,  2239,  2335,
         2488,  1012,  2293,  2017,   999,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2053, 4013, 5910, 3246, 2009, 1005, 1055, 2035,
        2183, 2092,  999,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 3666, 2085, 2002, 5369, 1007, 1007,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2125,  2000,  6457,  2059,  2793,  1010,  2305,  2305, 22861,
         2015,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2022, 3407, 1999, 2392, 1997, 2111, 2040, 2123, 1005, 1056, 2066,
        2017, 1010, 2009, 8563, 2068, 1012,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2033,  1998, 23508,  2024,  6069,  2191,  1037,  2678,  2000,
         2655,  2033,  2672,  2007,  1996,  3337,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101, 10201,  2007,  2026,  2210, 12731, 20338,  8937,  3892,  1026,
        24471,  2140,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  9779, 23644,  1010,  3374,  2293,  1012,
         1012,  1012,  2021,  1045,  2113,  2017,  1005,  2222,  9078,  2068,
         1012,  1007,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2129,  2024,  1001, 16950,  2545,  3173,  2039,  1999,  1996,
        12930,  1997,  2035,  1996,  3054,  3334,  5244,  1029,  3342,  1996,
         3595,  2000,  3112,  2003,  1037,  2204,  2305,  3637,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])"
1,"tensor([ 101, 3666, 1996, 2034, 4466, 1010, 2061, 2003, 2431, 2026, 8771, 8840,
        2140,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  2064,  1045,  2131,  1037,  3582,  2067,
         2013,  1037,  3507,  1001,  1056,  2860, 15143,  4328,  2135,  2266,
         3531,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 3100, 2021, 2279, 2033, 2017, 2033, 2024, 5791,
        5689, 2041,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1045,  2074,  6618,  2041,  1045,  2031,  1996,  2168,  5798,
         2004,  3505,  1996,  3663,  2013,  3933,  5370,  1012,  1012,  2021,
         2251,  4343,  2003,  1037,  2204,  2154,  2138,  1045,  2131, 16080,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1026,  5310,  1028, 12043,  1045,  2106,
         4765,  2360,  2028,  2518,  2000,  2014,  2651,   999,  1029,   999,
         1998,  2016,  4627,  2667,  2000,  2360,  4485,  1029,  1047,  1012,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2064,  1045,  2131,  1017,  2062,  8771,  3892,  1024,  1040,
         1045,  1005,  1049,  3835,  1012,  2017,  1005,  2222,  2066,  2026,
         1056, 28394,  3215,  1012,  1045,  1005,  2222,  3046,  2026,  2190,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 3398, 1045, 2001, 3243, 4527, 2205, 1012, 2130,
        2170, 1996, 3556, 1012,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2044, 2082, 2007, 2026, 3057, 1026, 5310, 1028, 1026, 5310, 1028,
        1026, 5310, 1028,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 2002, 5369, 1026, 1017, 2092, 7592, 2045,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 1045, 1005, 2222, 2022, 5777, 2045,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1045,  2293,  2008,  2002,  2245,  1997,
         2033,  1998,  2010,  4086,  7098,  2227,  2043,  2002,  4375,  2068,
         2000,  2033,  2081,  2033,  7697,  2039,   999,  1060, 11636, 11636,
         2080,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1001, 21526, 19658,  2066,  2008,   102])","tensor([1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2043, 2111, 3648, 1004, 6232, 4697, 2017, 1010, 2074, 3342, 2009,
        2758, 2498, 2055, 2017, 1004, 2673, 2055, 2068,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1026,  5310,  1028, 26114,  4241,  2232,
          999,  1045,  2409,  2017,   999,  1057,  2342,  2000,  2272,  2000,
        13675, 22684,  2860,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028, 22091,  2860,  1010,  2017,  2024,  1037,
         2200,  4086,  2785,  1012, 15488,  3126,  2546,  1012,  1045,  2293,
         2017,  2205,  1004,  3331,  2007,  1057, 13695,  2026,  8633,  2004,
         2092,  1012,  1026,  1017,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2507,  2014,  2008,  2079,  5051,  5980,  1010,  6229,  2016,
         2064,  2514,  2009,  1999,  2014,  4308,  1010,  2159,  5291,  2067,
         1004, 10393, 11599,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2507,  2014,  2008,  2079,  5051,  5980,  1010,  6229,  2016,
         2064,  2514,  2009,  1999,  2014,  4308,  1010,  2159,  5291,  2067,
         1004, 10393, 11599,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  3407,  1018,  1012,  2322,  1026,  5310,
         1028,  2005,  2613,  2015,  1012,  1045,  1005,  1049, 12125,  2075,
         1999,  1996,  2171,  1997,  1026,  5310,  1028,  1012,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])"
